code_challenge_score,technical_interview_score,approved_by_the_code_challenge,approved_by_the_technical_interview,approved_in_both_tests,country_key,candidate_key,technology_key,seniority_key,date_key
3,3,False,False,False,1,1,1,1,20210226
2,10,False,True,False,2,2,1,1,20210909
10,9,True,True,True,3,3,2,2,20200414
7,1,True,False,False,4,4,3,3,20201001
9,7,True,True,True,5,5,4,2,20200520
2,9,False,True,False,6,6,5,4,20190817
2,9,False,True,False,7,7,6,3,20180518
2,5,False,False,False,5,8,7,5,20211209
7,10,True,True,True,8,9,4,5,20180313
2,0,False,False,False,9,10,8,5,20220408
4,9,False,True,False,10,11,9,1,20190922
7,4,True,False,False,11,12,8,5,20200715
5,10,False,True,False,12,13,10,2,20211227
7,8,True,True,True,13,14,11,4,20200509
4,1,False,False,False,14,15,12,6,20191012
4,6,False,False,False,15,16,13,2,20181018
5,5,False,False,False,16,17,4,6,20200325
3,5,False,False,False,17,18,4,7,20210523
4,2,False,False,False,18,19,14,3,20180502
2,3,False,False,False,14,20,5,6,20210413
0,2,False,False,False,19,21,13,6,20190321
4,1,False,False,False,20,22,15,5,20200712
8,8,True,True,True,21,23,13,4,20210109
7,5,True,False,False,22,24,16,2,20210727
5,6,False,False,False,23,25,8,6,20191118
8,4,True,False,False,24,26,4,5,20180425
8,10,True,True,True,25,27,17,5,20200126
6,8,False,True,False,26,28,12,4,20211204
1,4,False,False,False,27,29,18,3,20220105
5,1,False,False,False,28,30,7,4,20201128
5,0,False,False,False,17,31,12,2,20190525
3,7,False,True,False,29,32,16,7,20180921
3,6,False,False,False,30,33,7,6,20180304
10,0,True,False,False,31,34,2,1,20210819
8,8,True,True,True,2,35,5,7,20180821
4,2,False,False,False,32,36,8,5,20200624
3,5,False,False,False,33,37,19,7,20180313
8,0,True,False,False,34,38,20,1,20190107
10,4,True,False,False,35,39,14,1,20220126
2,2,False,False,False,36,40,21,1,20191216
4,0,False,False,False,37,41,20,5,20220325
3,3,False,False,False,38,42,22,3,20181004
3,6,False,False,False,39,43,15,5,20191202
5,0,False,False,False,40,44,12,7,20200910
0,0,False,False,False,41,45,8,2,20210307
6,5,False,False,False,42,46,19,2,20210705
7,8,True,True,True,43,47,8,4,20210409
2,8,False,True,False,37,48,13,1,20190426
6,2,False,False,False,44,49,5,7,20201224
2,9,False,True,False,45,50,18,5,20210328
8,7,True,True,True,7,51,8,4,20200923
2,8,False,True,False,26,52,20,6,20180305
5,5,False,False,False,46,53,13,7,20210626
10,10,True,True,True,47,54,12,7,20220227
9,2,True,False,False,48,55,1,6,20220326
10,7,True,True,True,49,56,18,3,20181026
8,5,True,False,False,50,57,13,5,20210906
6,1,False,False,False,43,58,14,5,20211001
3,8,False,True,False,51,59,9,6,20180611
9,4,True,False,False,52,60,10,2,20210101
6,5,False,False,False,53,61,15,4,20190604
6,3,False,False,False,54,62,6,5,20180828
5,7,False,True,False,55,63,16,4,20180430
5,10,False,True,False,56,64,23,5,20220113
9,8,True,True,True,57,65,15,5,20210124
2,2,False,False,False,58,66,18,5,20180525
4,1,False,False,False,59,67,24,3,20200126
10,5,True,False,False,60,68,6,2,20210718
4,3,False,False,False,31,69,3,3,20220411
9,3,True,False,False,61,70,19,4,20211014
7,5,True,False,False,62,71,4,2,20180908
5,6,False,False,False,36,72,18,6,20200102
8,3,True,False,False,63,73,5,6,20191220
10,6,True,False,False,64,74,10,6,20210711
5,0,False,False,False,47,75,13,3,20180717
0,1,False,False,False,65,76,16,7,20210721
7,2,True,False,False,66,77,19,4,20201109
4,1,False,False,False,4,78,21,2,20180809
8,0,True,False,False,67,79,7,7,20200106
5,10,False,True,False,68,80,4,5,20190306
10,2,True,False,False,69,81,17,4,20191214
1,9,False,True,False,7,82,8,1,20191210
7,5,True,False,False,70,83,10,4,20180901
6,10,False,True,False,17,84,6,3,20181023
1,8,False,True,False,71,85,8,7,20201018
2,6,False,False,False,72,86,19,4,20211202
9,4,True,False,False,73,87,12,3,20210627
6,10,False,True,False,74,88,2,5,20201123
7,9,True,True,True,75,89,21,4,20220617
2,8,False,True,False,76,90,13,2,20211105
6,3,False,False,False,77,91,15,3,20200715
1,1,False,False,False,78,92,19,3,20201102
5,7,False,True,False,79,93,6,7,20191125
5,2,False,False,False,80,94,21,4,20180107
7,7,True,True,True,81,95,11,1,20180427
0,0,False,False,False,82,96,6,2,20180321
8,4,True,False,False,83,97,14,7,20181006
3,0,False,False,False,84,98,24,4,20190321
4,6,False,False,False,85,99,16,5,20210218
10,10,True,True,True,86,100,12,3,20210127
0,4,False,False,False,87,101,19,2,20190217
3,6,False,False,False,88,102,1,2,20200403
8,10,True,True,True,89,103,12,3,20180718
7,6,True,False,False,90,104,17,7,20190214
9,3,True,False,False,91,105,8,4,20200815
9,2,True,False,False,92,106,8,5,20181206
10,10,True,True,True,20,107,14,6,20220211
4,5,False,False,False,93,108,22,6,20181211
4,1,False,False,False,65,109,1,2,20200611
1,2,False,False,False,72,110,7,3,20220208
3,7,False,True,False,94,111,21,1,20211214
10,8,True,True,True,75,112,4,1,20211123
4,4,False,False,False,95,113,2,6,20210430
7,9,True,True,True,96,114,10,5,20181219
9,0,True,False,False,97,115,12,1,20181001
6,0,False,False,False,98,116,18,3,20190618
6,8,False,True,False,13,117,17,2,20180119
10,3,True,False,False,78,118,22,4,20201103
8,5,True,False,False,54,119,13,5,20180903
7,5,True,False,False,99,120,20,6,20190430
1,7,False,True,False,63,121,8,3,20180208
5,8,False,True,False,100,122,8,5,20180808
9,10,True,True,True,101,123,19,1,20200523
3,5,False,False,False,90,124,13,4,20201207
3,1,False,False,False,102,125,11,4,20181106
5,7,False,True,False,102,126,23,5,20210112
0,4,False,False,False,36,127,14,5,20190221
2,7,False,True,False,50,128,3,4,20220217
2,10,False,True,False,98,129,18,5,20200620
3,3,False,False,False,96,130,16,3,20210822
1,6,False,False,False,74,131,10,2,20190203
6,6,False,False,False,103,132,18,1,20210828
10,5,True,False,False,25,133,4,7,20180727
6,0,False,False,False,104,134,16,2,20190103
0,3,False,False,False,105,135,6,6,20180221
9,1,True,False,False,81,136,20,3,20190322
1,0,False,False,False,106,137,17,1,20180519
8,10,True,True,True,107,138,24,4,20220227
0,7,False,True,False,108,139,9,1,20180326
10,3,True,False,False,109,140,20,4,20180402
2,8,False,True,False,110,141,3,3,20190126
9,8,True,True,True,21,142,24,5,20220620
1,10,False,True,False,111,143,4,5,20181223
5,6,False,False,False,6,144,19,1,20200522
8,6,True,False,False,53,145,17,1,20190723
3,6,False,False,False,112,146,15,1,20191226
1,2,False,False,False,59,147,16,1,20210427
